Rank,Driver,Points,Diff
1,Ryan Blaney,48,
2,Alex Bowman,42,-6
3,William Byron,41,-7
4,Tyler Reddick,38,-10
4,Austin Cindric,38,-10
6,Jimmie Johnson,34,-14
7,Chase Briscoe,33,-15
8,John H. Nemechek,32,-16
8,Chris Buescher,32,-16
10,Erik Jones,31,-17
11,Chase Elliott,30,-18
12,Daniel Suarez,29,-19
13,Michael McDowell,27,-21
14,Ricky Stenhouse Jr,26,-22
15,Ty Dillon,23,-25
16,Ty Gibbs,21,-27
17,Riley Herbst,20,-28
17,Brad Keselowski,20,-28
19,Justin Haley,18,-30
20,Kyle Larson,17,-31
21,Cole Custer,16,-32
