Leader,From Lap,To Lap,# Of Laps
Chase Briscoe,1,4,4
Ty Dillon,5,7,3
William Byron,8,10,3
Austin Cindric,11,11,1
William Byron,12,15,4
Michael McDowell,16,17,2
Ryan Blaney,18,21,4
Joey Logano,22,30,9
William Byron,31,31,1
Corey LaJoie,32,34,3
Joey Logano,35,39,5
Chase Elliott,40,41,2
Joey Logano,42,70,29
Alex Bowman,71,74,4
Ryan Blaney,75,76,2
Austin Cindric,77,78,2
Ryan Preece,79,79,1
Noah Gragson,80,80,1
Austin Cindric,81,89,9
Michael McDowell,90,90,1
Austin Cindric,91,93,3
Michael McDowell,94,94,1
Noah Gragson,95,95,1
Austin Cindric,96,96,1
Ryan Preece,97,101,5
Alex Bowman,102,105,4
Austin Cindric,106,115,10
Alex Bowman,116,116,1
Austin Cindric,117,122,6
Alex Bowman,123,123,1
Austin Cindric,124,124,1
Alex Bowman,125,125,1
Austin Cindric,126,129,4
Ryan Blaney,130,132,3
Carson Hocevar,133,133,1
Ryan Blaney,134,138,5
Bubba Wallace,139,141,3
Ryan Blaney,142,142,1
Bubba Wallace,143,145,3
Ryan Blaney,146,148,3
Bubba Wallace,149,152,4
Ryan Blaney,153,154,2
Bubba Wallace,155,156,2
Ryan Blaney,157,157,1
Bubba Wallace,158,158,1
William Byron,159,159,1
Ryan Blaney,160,160,1
Bubba Wallace,161,163,3
Austin Cindric,164,164,1
Bubba Wallace,165,166,2
Austin Cindric,167,185,19
Corey LaJoie,186,192,7
Austin Cindric,193,193,1
Denny Hamlin,194,199,6
Austin Cindric,200,200,1
William Byron,201,201,1
Ryan Blaney,202,202,1
