Rank,Driver,Points,Diff
1,Kyle Busch,361,
2,Denny Hamlin,334,-27
3,Joey Logano,326,-35
4,Kevin Harvick,301,-60
5,Brad Keselowski,271,-90
6,Ryan Blaney,265,-96
7,Martin Truex Jr,254,-107
8,Kurt Busch,253,-108
9,Aric Almirola,246,-115
10,Chase Elliott,245,-116
11,Clint Bowyer,234,-127
12,Daniel Suarez,210,-151
13,Jimmie Johnson,209,-152
14,Kyle Larson,203,-158
15,Ryan Newman,188,-173
16,Ricky Stenhouse Jr,187,-174
17,Erik Jones,186,-175
18,Austin Dillon,185,-176
19,Paul Menard,183,-178
20,William Byron,174,-187
21,Alex Bowman,166,-195
