Rank,Driver,Wins,Points
1,Kyle Busch,3,361
2,Denny Hamlin,2,334
3,Brad Keselowski,2,271
4,Joey Logano,1,326
5,Kevin Harvick,0,301
6,Ryan Blaney,0,265
7,Martin Truex Jr,0,254
8,Kurt Busch,0,253
9,Aric Almirola,0,246
10,Chase Elliott,0,245
11,Clint Bowyer,0,234
12,Daniel Suarez,0,210
13,Jimmie Johnson,0,209
14,Kyle Larson,0,203
15,Ryan Newman,0,188
16,Ricky Stenhouse Jr,0,187
