Leader,From Lap,To Lap,# Of Laps
Chase Elliott,1,38,38
Clint Bowyer,39,40,2
Ryan Blaney,41,41,1
Denny Hamlin,42,48,7
Erik Jones,49,58,10
Ryan Blaney,59,117,59
Clint Bowyer,118,123,6
Ty Dillon,124,129,6
Brad Keselowski,130,144,15
Joey Logano,145,255,111
Ryan Blaney,256,353,98
Joey Logano,354,374,21
Clint Bowyer,375,377,3
Joey Logano,378,378,1
Clint Bowyer,379,383,5
Kyle Busch,384,408,25
Clint Bowyer,409,416,8
Joey Logano,417,417,1
Kyle Busch,418,444,27
Brad Keselowski,445,469,25
Joey Logano,470,481,12
Kyle Busch,482,500,19
