Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,2,2,,
yellow_flag,3,7,5,"#10,17,18,24,47 accident backstretch",none
green_flag,8,38,31,,
yellow_flag,39,45,7,"#9,32,47 accident frontstretch",#00
green_flag,46,118,73,,
yellow_flag,119,123,5,"#8,15 accident turn 1",#3
green_flag,124,126,3,,
yellow_flag,127,135,9,end of stage 1,#24
green_flag,136,213,78,,
yellow_flag,214,219,6,"#9,36 accident frontstretch",#9
green_flag,220,251,32,,
yellow_flag,252,261,10,end of stage 2,#20
green_flag,262,270,9,,
yellow_flag,271,276,6,"#19,43 accident frontstretch",#38
green_flag,277,375,99,,
yellow_flag,376,382,7,debris turn 2,#24
green_flag,383,415,33,,
yellow_flag,416,422,7,#42 spun turn 2,#41
green_flag,423,432,10,,
yellow_flag,433,439,7,#14 accident turn 2,#42
green_flag,440,478,39,,
yellow_flag,479,486,8,#42 accident turn 3,#4
green_flag,487,500,14,,
Percent of race run under caution: 15.4%             Average green flag run: 35.3 laps
