Rank,Driver,Points,Diff
1,Joey Logano,5040,
2,Ross Chastain,5034,-6
3,Christopher Bell,5027,-13
4,Chase Elliott,5009,-31
5,Denny Hamlin,2379,-2661
6,William Byron,2378,-2662
7,Kyle Larson,2354,-2686
7,Ryan Blaney,2354,-2686
9,Chase Briscoe,2292,-2748
10,Daniel Suarez,2272,-2768
11,Austin Dillon,2228,-2812
12,Kevin Harvick,2226,-2814
12,Austin Cindric,2226,-2814
14,Kyle Busch,2224,-2816
15,Tyler Reddick,2215,-2825
16,Alex Bowman,2107,-2933
17,Martin Truex Jr,1037,-4003
18,Erik Jones,831,-4209
19,Bubba Wallace,764,-4276
20,Aric Almirola,760,-4280
21,Chris Buescher,727,-4313
