Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,61,61,,
yellow_flag,62,68,7,end of stage 1,#47
green_flag,69,85,17,,
yellow_flag,86,90,5,"#47,77 accident turn 2",#42
green_flag,91,186,96,,
yellow_flag,187,192,6,end of stage 2,#48
green_flag,193,193,1,,
yellow_flag,194,199,6,"#8,23,34,43 accident turn 4",#41
green_flag,200,200,1,,
yellow_flag,201,204,4,accident frontstretch,#7
green_flag,205,268,64,,
yellow_flag,269,279,11,"#34,48 accident backstretch",#45
green_flag,280,312,33,,
Percent of race run under caution: 12.5%             Average green flag run: 39.0 laps
