Leader,From Lap,To Lap,# Of Laps
Kyle Larson,1,47,47
William Byron,48,49,2
Brad Keselowski,50,55,6
Matt DiBenedetto,56,57,2
Anthony Alfredo,58,58,1
Kyle Larson,59,131,73
Chase Elliott,132,148,17
Tyler Reddick,149,149,1
Christopher Bell,150,152,3
Kyle Larson,153,174,22
Alex Bowman,175,179,5
Denny Hamlin,180,182,3
Chase Elliott,183,187,5
Kyle Larson,188,230,43
William Byron,231,247,17
Tyler Reddick,248,249,2
Austin Dillon,250,250,1
Anthony Alfredo,251,252,2
Kyle Larson,253,305,53
Kyle Busch,306,306,1
Kyle Larson,307,346,40
Tyler Reddick,347,349,3
Ryan Blaney,350,351,2
Kyle Larson,352,400,49
