Rank,Driver,Wins,Points
1,Martin Truex Jr,3,486
2,Kyle Larson,2,557
3,Alex Bowman,2,405
4,William Byron,1,557
5,Chase Elliott,1,541
6,Joey Logano,1,506
7,Ryan Blaney,1,482
8,Kyle Busch,1,476
9,Brad Keselowski,1,448
10,Christopher Bell,1,350
11,Michael McDowell,1,346
12,Denny Hamlin,0,633
13,Kevin Harvick,0,468
14,Austin Dillon,0,407
15,Tyler Reddick,0,376
16,Chris Buescher,0,370
