Rank,Driver,Points,Diff
1,Denny Hamlin,633,
2,Kyle Larson,557,-76
2,William Byron,557,-76
4,Chase Elliott,541,-92
5,Joey Logano,506,-127
6,Martin Truex Jr,486,-147
7,Ryan Blaney,482,-151
8,Kyle Busch,476,-157
9,Kevin Harvick,468,-165
10,Brad Keselowski,448,-185
11,Austin Dillon,407,-226
12,Alex Bowman,405,-228
13,Tyler Reddick,376,-257
14,Chris Buescher,370,-263
15,Christopher Bell,350,-283
16,Michael McDowell,346,-287
17,Matt DiBenedetto,315,-318
18,Ricky Stenhouse Jr,308,-325
19,Kurt Busch,287,-346
20,Ryan Newman,283,-350
21,Ross Chastain,277,-356
