Rank,Driver,Points,Diff
1,Christopher Bell,2108,
2,William Byron,2098,-10
3,Denny Hamlin,2097,-11
4,Joey Logano,2090,-18
5,Ryan Blaney,2086,-22
6,Alex Bowman,2080,-28
7,Chase Elliott,2078,-30
8,Kyle Larson,2077,-31
9,Ross Chastain,2076,-32
10,Daniel Suarez,2056,-52
11,Tyler Reddick,2052,-56
11,Austin Cindric,2052,-56
13,Kyle Busch,2050,-58
14,Austin Dillon,2049,-59
15,Chase Briscoe,2043,-65
16,Kevin Harvick,2017,-91
17,Martin Truex Jr,859,-1249
18,Erik Jones,642,-1466
19,Bubba Wallace,637,-1471
20,Aric Almirola,618,-1490
21,Chris Buescher,555,-1553
