Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,6,6,,
yellow_flag,7,11,5,"#7,9,18,22,47,51 accident frontstretch",none
green_flag,12,33,22,,
yellow_flag,34,39,6,debris turn 3,#77
green_flag,40,71,32,,
yellow_flag,72,78,7,end of stage 1,#77
green_flag,79,100,22,,
yellow_flag,101,106,6,"#13,32 accident turn 2",#78
green_flag,107,186,80,,
yellow_flag,187,192,6,end of stage 2,#38
green_flag,193,216,24,,
yellow_flag,217,221,5,#00 spun turn 2,#43
green_flag,222,289,68,,
yellow_flag,290,294,5,#32 accident turn 3,#42
green_flag,295,311,17,,
Percent of race run under caution: 12.9%             Average green flag run: 33.9 laps
