Rank,Driver,Points,Diff
1,Kevin Harvick,1041,
2,Denny Hamlin,907,-134
3,Brad Keselowski,881,-160
4,Martin Truex Jr,845,-196
5,Joey Logano,836,-205
6,Ryan Blaney,818,-223
7,Chase Elliott,809,-232
8,Aric Almirola,740,-301
9,Kyle Busch,719,-322
10,Kurt Busch,700,-341
11,Clint Bowyer,685,-356
12,Alex Bowman,662,-379
13,Matt DiBenedetto,637,-404
14,William Byron,632,-409
15,Jimmie Johnson,628,-413
16,Erik Jones,582,-459
17,Tyler Reddick,563,-478
18,Austin Dillon,561,-480
19,Cole Custer,469,-572
20,Christopher Bell,456,-585
21,Chris Buescher,449,-592
