Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
1,17,4,Kevin Harvick,Mobil 1   (Stewart Haas Racing),Ford,311,running,223,60,7
2,19,19,Martin Truex Jr,Bass Pro Shops / Tracker Boats & ATVs   (Joe Gibbs),Toyota,311,running,0,42,0
3,14,48,Jimmie Johnson,Ally   (Rick Hendrick),Chevrolet,311,running,3,39,0
4,23,24,William Byron,Axalta   (Rick Hendrick),Chevrolet,311,running,0,46,0
5,21,88,Alex Bowman,Acronis   (Rick Hendrick),Chevrolet,311,running,0,36,0
6,13,22,Joey Logano,Shell / Pennzoil   (Roger Penske),Ford,311,running,15,45,0
7,4,10,Aric Almirola,Smithfield Hometown Original   (Stewart Haas Racing),Ford,311,running,22,37,0
8,12,2,Brad Keselowski,Wurth   (Roger Penske),Ford,311,running,0,36,0
9,6,3,Austin Dillon,Dow / Behr Ultra Scuff Defense   (Richard Childress),Chevrolet,311,running,0,29,0
10,10,41,Cole Custer,HaasTooling.com / Jacob Companies   (Stewart Haas Racing),Ford,311,running,0,30,0
11,18,18,Kyle Busch,Interstate Batteries   (Joe Gibbs),Toyota,311,running,0,26,0
12,7,12,Ryan Blaney,Advance Auto Parts   (Roger Penske),Ford,311,running,37,40,0
13,28,1,Kurt Busch,Gearwrench   (Chip Ganassi),Chevrolet,311,running,0,26,0
14,5,17,Chris Buescher,Fastenal   (Jack Roush),Ford,311,running,0,23,0
15,22,42,Matt Kenseth,Clover   (Chip Ganassi),Chevrolet,311,running,0,22,0
16,15,14,Clint Bowyer,Haas Automation   (Stewart Haas Racing),Ford,311,running,0,21,0
17,1,21,Matt DiBenedetto,Menards / Richmond   (Wood Brothers),Ford,311,running,11,24,0
18,8,8,Tyler Reddick,Cat App   (Richard Childress),Chevrolet,311,running,0,19,0
19,20,11,Denny Hamlin,FedEx Office   (Joe Gibbs),Toyota,311,running,0,26,0
20,27,38,John H. Nemechek,Acme   (Bob Jenkins),Ford,311,running,0,17,0
21,26,43,Bubba Wallace,Columbia   (Richard Petty Motorsports),Chevrolet,311,running,0,16,0
22,9,20,Erik Jones,Reser's Fine Foods   (Joe Gibbs),Toyota,310,running,0,15,0
23,30,32,Corey LaJoie,Drydene   (Archie St. Hilaire),Ford,310,running,0,14,0
24,2,6,Ryan Newman,Guaranteed Rate   (Jack Roush),Ford,310,running,0,13,0
25,25,34,Michael McDowell,Digital Ally Shield Cleansers   (Bob Jenkins),Ford,310,running,0,12,0
26,29,37,Ryan Preece,Scott Brand   (JTG-Daugherty Racing),Chevrolet,310,running,0,11,0
27,24,95,Christopher Bell,Rheem / Procore   (Leavine Family Racing),Toyota,310,running,0,10,0
28,31,96,Daniel Suarez,CommScope   (Gaunt Brothers),Toyota,309,running,0,9,0
29,3,13,Ty Dillon,GEICO   (Germain Racing),Chevrolet,309,running,0,8,0
30,34,15,Brennan Poole,Remember Everyone Deployed   (Rick Ware),Chevrolet,305,running,0,7,0
31,40,78,B.J. McLeod,Royal Teak Collection   (B.J. McLeod),Chevrolet,303,running,0,0,0
32,33,53,Josh Bilicki,Insurance King / The Wounded Blue   (Rick Ware),Chevrolet,302,running,0,0,0
33,37,77,Reed Sorenson,Spire Motorsports   (Spire Motorsports),Chevrolet,302,running,0,4,0
34,35,00,Quin Houff,Eagle Rock Wealth   (StarCom Racing),Chevrolet,302,running,0,3,0
35,39,7,Garrett Smithley,"Tommy Baldwin Racing   (Tommy Baldwin, Jr.)",Chevrolet,296,running,0,0,0
36,36,66,Timmy Hill,Manscaped / SBC Contractors   (Carl Long),Toyota,252,engine,0,0,0
37,11,47,Ricky Stenhouse Jr,Kroger / Pringles / Minute / Slim Jim   (JTG-Daugherty Racing),Chevrolet,215,running,0,1,0
38,32,27,J.J. Yeley,Thriv5   (Rick Ware),Ford,110,handling,0,0,0
39,16,9,Chase Elliott,NAPA Auto Parts   (Rick Hendrick),Chevrolet,6,crash,0,1,0
40,38,51,Joey Gase,Race 4 Relief / Gift of Life Donor Program   (Rick Ware),Ford,4,crash,0,0,0
