Rank,Driver,Wins,Points
1,Kevin Harvick,7,1041
2,Denny Hamlin,6,907
3,Brad Keselowski,3,881
4,Joey Logano,2,836
5,Chase Elliott,2,809
6,Martin Truex Jr,1,845
7,Ryan Blaney,1,818
8,Alex Bowman,1,662
9,Austin Dillon,1,561
10,Cole Custer,1,469
11,Aric Almirola,0,740
12,Kyle Busch,0,719
13,Kurt Busch,0,700
14,Clint Bowyer,0,685
15,Matt DiBenedetto,0,637
16,William Byron,0,632
