Rank,Driver,Points,Diff
1,Kevin Harvick,164,
2,Joey Logano,163,-1
3,Chase Elliott,144,-20
4,Alex Bowman,138,-26
5,Jimmie Johnson,131,-33
6,Ryan Blaney,123,-41
7,Kyle Larson,121,-43
7,Aric Almirola,121,-43
9,Matt DiBenedetto,118,-46
9,Brad Keselowski,118,-46
11,Denny Hamlin,111,-53
11,Kyle Busch,111,-53
13,Clint Bowyer,105,-59
14,Chris Buescher,102,-62
15,Martin Truex Jr,96,-68
16,Kurt Busch,90,-74
17,Ricky Stenhouse Jr,88,-76
18,Bubba Wallace,87,-77
18,William Byron,87,-77
20,Austin Dillon,77,-87
20,Erik Jones,77,-87
