Rank,Driver,Wins,Points
1,Joey Logano,2,163
2,Alex Bowman,1,138
3,Denny Hamlin,1,111
4,Kevin Harvick,0,164
5,Chase Elliott,0,144
6,Jimmie Johnson,0,131
7,Ryan Blaney,0,123
8,Aric Almirola,0,121
8,Kyle Larson,0,121
10,Brad Keselowski,0,118
10,Matt DiBenedetto,0,118
12,Kyle Busch,0,111
13,Clint Bowyer,0,105
14,Chris Buescher,0,102
15,Martin Truex Jr,0,96
16,Kurt Busch,0,90
