Leader,From Lap,To Lap,# Of Laps
Chase Elliott,1,60,60
Kevin Harvick,61,91,31
Chase Elliott,92,102,11
Kevin Harvick,103,132,30
Chase Elliott,133,137,5
"Martin Truex, Jr.",138,140,3
Chase Elliott,141,155,15
Brad Keselowski,156,193,38
Chris Buescher,194,194,1
Brad Keselowski,195,215,21
Chase Elliott,216,216,1
"Martin Truex, Jr.",217,224,8
Joey Logano,225,250,26
Kevin Harvick,251,254,4
Chase Elliott,255,255,1
Kevin Harvick,256,257,2
Joey Logano,258,267,10
Brad Keselowski,268,271,4
Kyle Larson,272,273,2
Brad Keselowski,274,292,19
Joey Logano,293,316,24
