driver_name,start_pos,mid_race_pos,finish_pos,highest_pos,lowest_pos,avg_pos,pass_diff,green_flag_passes,green_flag_times_passed,quality_passes,pct_quality_passes,fastest_lap,top_15_laps,pct_top_15_laps,laps_led,pct_laps_led,total_laps,driver_rating
Ricky Stenhouse Jr,32,10,1,1,32,11,27,724,697,467,64.5,1,140,71.8,19,9.7,195,105.4
Brad Keselowski,13,34,2,1,37,19,13,549,536,239,43.5,4,85,43.6,2,1.0,195,74.9
William Byron,16,6,3,1,35,14,27,732,705,393,53.7,2,127,65.1,1,0.5,195,88.9
Kyle Larson,12,9,4,1,35,14,35,691,656,372,53.8,0,117,60.0,1,0.5,195,89.9
Erik Jones,30,31,5,1,37,23,-1,634,635,118,18.6,8,45,23.1,0,0.0,195,70.3
Christopher Bell,21,20,6,1,39,20,13,582,569,195,33.5,3,68,34.9,0,0.0,195,66.0
Justin Haley,35,19,7,1,39,21,-3,554,557,216,39.0,3,71,36.4,4,2.1,195,59.2
Austin Dillon,7,15,8,1,39,19,-35,614,649,311,50.7,3,94,48.2,1,0.5,195,70.9
Bubba Wallace,26,21,9,1,37,19,6,673,667,239,35.5,0,76,39.0,3,1.5,195,75.5
Denny Hamlin,8,23,10,1,39,20,-49,614,663,201,32.7,5,61,31.3,0,0.0,195,67.0
Martin Truex Jr,24,40,11,5,40,26,-8,457,465,76,16.6,2,29,14.9,0,0.0,195,54.2
Cody Ware,34,37,12,1,38,26,-9,428,437,63,14.7,4,24,12.3,1,0.5,195,49.0
Ty Gibbs,15,22,13,1,36,17,-28,665,693,275,41.4,1,94,48.2,0,0.0,195,75.9
Carson Hocevar,37,16,14,2,39,28,-1,409,410,27,6.6,9,13,6.7,0,0.0,195,56.6
Shane Van Gisbergen,17,1,15,1,37,19,-6,507,513,132,26.0,9,74,37.9,9,4.6,195,73.9
Alex Bowman,23,8,16,1,39,15,53,719,666,368,51.2,1,111,56.9,1,0.5,195,80.9
Chris Buescher,20,24,17,1,31,12,-2,611,613,428,70.0,5,131,67.2,12,6.2,195,89.2
Corey LaJoie,28,12,18,1,39,20,42,616,574,152,24.7,5,60,30.8,5,2.6,195,64.5
Kyle Busch,4,11,19,1,38,12,-37,596,633,423,71.0,1,146,74.9,7,3.6,195,82.9
Tyler Reddick,14,30,20,1,34,18,10,649,639,189,29.1,4,69,35.4,2,1.0,195,76.7
Zane Smith,39,13,21,1,39,24,-2,581,583,34,5.9,7,18,9.2,0,0.0,195,57.7
B.J. McLeod,38,18,22,1,39,28,-6,466,472,27,5.8,6,17,8.7,1,0.5,195,40.8
Todd Gilliland,3,36,23,1,37,18,-15,542,557,345,63.7,3,95,49.0,2,1.0,194,62.3
Anthony Alfredo,33,35,24,3,40,36,-7,157,164,0,0.0,5,1,0.5,0,0.0,194,42.0
Noah Gragson,22,29,25,1,36,20,-16,623,639,254,40.8,4,66,34.0,0,0.0,194,64.9
Daniel Suarez,31,39,26,23,40,38,4,28,24,0,0.0,4,0,0.0,0,0.0,194,36.1
J.J. Yeley,40,38,27,2,40,36,-4,147,151,0,0.0,1,2,1.0,0,0.0,193,32.3
A.J. Allmendinger,25,32,28,1,39,25,3,483,480,131,27.1,14,36,18.7,9,4.7,193,48.1
Chase Elliott,11,4,29,1,35,14,14,699,685,344,49.2,3,114,60.0,1,0.5,190,79.2
Chase Briscoe,36,25,30,1,36,17,19,673,654,293,43.5,3,87,46.0,0,0.0,189,75.1
John H. Nemechek,29,33,31,2,39,28,-6,355,361,61,17.2,9,23,12.2,0,0.0,188,48.8
Austin Cindric,2,5,32,1,19,6,-9,611,620,539,88.2,2,182,99.5,29,15.8,183,98.5
Joey Logano,6,7,33,1,35,12,5,598,593,368,61.5,2,135,73.8,19,10.4,183,93.7
Harrison Burton,9,14,34,1,36,18,-20,642,662,204,31.8,3,65,35.5,0,0.0,183,73.0
Ryan Preece,18,27,35,1,35,20,9,555,546,275,49.6,8,80,43.7,0,0.0,183,64.5
Josh Berry,19,28,36,3,38,26,-25,545,570,69,12.7,7,13,7.1,0,0.0,183,53.6
Michael McDowell,1,26,37,1,36,19,-33,406,439,176,43.4,8,80,43.7,42,23.0,183,74.9
Daniel Hemric,10,17,38,1,38,21,-30,662,692,300,45.3,3,81,44.3,1,0.5,183,66.8
Ryan Blaney,5,3,39,1,18,19,-13,374,387,330,88.2,2,123,99.2,6,4.8,124,95.4
Ross Chastain,27,2,40,1,38,24,15,343,328,168,49.0,1,72,60.0,17,14.2,120,86.9
