Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
1,32,47,Ricky Stenhouse Jr,Kroger Health/Palmolive   (JTG-Daugherty Racing),Chevrolet,195,running,19,49,5
2,13,6,Brad Keselowski,BuildSubmarines.com   (Jack Roush),Ford,195,running,2,35,0
3,16,24,William Byron,RaptorTough.com   (Rick Hendrick),Chevrolet,195,running,1,48,0
4,12,5,Kyle Larson,HendrickCars.com   (Rick Hendrick),Chevrolet,195,running,1,42,0
5,30,43,Erik Jones,Dollar Tree   (Legacy Motor Club),Toyota,195,running,0,32,0
6,21,20,Christopher Bell,DEWALT   (Joe Gibbs),Toyota,195,running,0,37,0
7,35,7,Justin Haley,Gainbridge   (Spire Motorsports),Chevrolet,195,running,4,30,0
8,7,3,Austin Dillon,Bass Pro Shops/Tracker Boats   (Richard Childress),Chevrolet,195,running,1,29,0
9,26,23,Bubba Wallace,U.S. Air Force   (23XI Racing),Toyota,195,running,3,32,0
10,8,11,Denny Hamlin,FedEx One Rate   (Joe Gibbs),Toyota,195,running,0,27,0
11,24,19,Martin Truex Jr,Bass Pro Shops   (Joe Gibbs),Toyota,195,running,0,26,0
12,34,15,Cody Ware,Arby's   (Rick Ware),Ford,195,running,1,25,0
13,15,54,Ty Gibbs,Monster Energy   (Joe Gibbs),Toyota,195,running,0,24,0
14,37,77,Carson Hocevar,Delaware Life   (Spire Motorsports),Chevrolet,195,running,0,23,0
15,17,16,Shane Van Gisbergen,WeatherTech   (Matthew Kaulig),Chevrolet,195,running,9,0,0
16,23,48,Alex Bowman,Ally   (Rick Hendrick),Chevrolet,195,running,1,26,0
17,20,17,Chris Buescher,Nexletol   (Jack Roush),Ford,195,running,12,30,1
18,28,51,Corey LaJoie,Mighty Fire Breaker   (Rick Ware),Ford,195,running,5,19,0
19,4,8,Kyle Busch,Lucas Oil   (Richard Childress),Chevrolet,195,running,7,26,0
20,14,45,Tyler Reddick,Nasty Beast   (23XI Racing),Toyota,195,running,2,22,0
21,39,71,Zane Smith,Focused Health   (Spire Motorsports),Chevrolet,195,running,0,16,0
22,38,78,B.J. McLeod,Live Fast Motorsports   (B.J. McLeod),Chevrolet,195,running,1,0,0
23,3,38,Todd Gilliland,Georgia Peanuts Commission   (Bob Jenkins),Ford,194,running,2,14,0
24,33,62,Anthony Alfredo,Fortify Building Solutions   (Beard Motorsports),Chevrolet,194,running,0,0,0
25,22,10,Noah Gragson,Beef a Roo   (Stewart Haas Racing),Ford,194,running,0,12,0
26,31,99,Daniel Suarez,Tootsies Orchid Lounge   (Trackhouse Racing),Chevrolet,194,running,0,11,0
27,40,44,J.J. Yeley,Epoxy Depot   (Johnathan Cohen),Chevrolet,193,running,0,0,0
28,25,13,A.J. Allmendinger,Strive   (Matthew Kaulig),Chevrolet,193,running,9,0,0
29,11,9,Chase Elliott,Kelley Blue Book   (Rick Hendrick),Chevrolet,190,running,1,17,0
30,36,14,Chase Briscoe,Rush Truck Centers   (Stewart Haas Racing),Ford,189,running,0,10,0
31,29,42,John H. Nemechek,Gearwrench   (Legacy Motor Club),Toyota,188,running,0,6,0
32,2,2,Austin Cindric,Discount Tire   (Roger Penske),Ford,183,crash,29,17,1
33,6,22,Joey Logano,Shell Pennzoil   (Roger Penske),Ford,183,crash,19,4,0
34,9,21,Harrison Burton,DEX Imaging   (Wood Brothers),Ford,183,crash,0,3,0
35,18,41,Ryan Preece,Wonder Bread   (Stewart Haas Racing),Ford,183,crash,0,2,0
36,19,4,Josh Berry,SunnyD   (Stewart Haas Racing),Ford,183,crash,0,1,0
37,1,34,Michael McDowell,Love's Travel Stops   (Bob Jenkins),Ford,183,crash,42,1,0
38,10,31,Daniel Hemric,Cirkul   (Matthew Kaulig),Chevrolet,183,crash,1,1,0
39,5,12,Ryan Blaney,MenardsPennzoil   (Roger Penske),Ford,124,crash,6,5,0
40,27,1,Ross Chastain,Busch Light Camo   (Trackhouse Racing),Chevrolet,120,crash,17,6,0
