Leader,From Lap,To Lap,# Of Laps
Michael McDowell,1,13,13
B.J. McLeod,14,14,1
Brad Keselowski,15,15,1
Michael McDowell,16,38,23
Justin Haley,39,39,1
Ross Chastain,40,41,2
Alex Bowman,42,42,1
Ross Chastain,43,47,5
Daniel Hemric,48,48,1
Ross Chastain,49,51,3
Kyle Larson,52,52,1
Ross Chastain,53,57,5
Ricky Stenhouse Jr,58,59,2
Chris Buescher,60,62,3
Brad Keselowski,63,63,1
William Byron,64,64,1
Chris Buescher,65,66,2
Tyler Reddick,67,67,1
Chris Buescher,68,73,6
Corey LaJoie,74,78,5
Michael McDowell,79,82,4
Ryan Blaney,83,87,5
Shane Van Gisbergen,88,90,3
Ross Chastain,91,91,1
Shane Van Gisbergen,92,92,1
Ryan Blaney,93,93,1
Shane Van Gisbergen,94,95,2
Ross Chastain,96,96,1
Shane Van Gisbergen,97,99,3
Justin Haley,100,102,3
Austin Cindric,103,116,14
Chase Elliott,117,117,1
Austin Cindric,118,122,5
Tyler Reddick,123,123,1
Kyle Busch,124,129,6
Bubba Wallace,130,130,1
Kyle Busch,131,131,1
Bubba Wallace,132,133,2
Chris Buescher,134,134,1
A.J. Allmendinger,135,135,1
Cody Ware,136,136,1
Joey Logano,137,141,5
A.J. Allmendinger,142,142,1
Joey Logano,143,145,3
A.J. Allmendinger,146,150,5
Joey Logano,151,151,1
Austin Cindric,152,152,1
Joey Logano,153,157,5
A.J. Allmendinger,158,158,1
Joey Logano,159,159,1
Austin Cindric,160,160,1
Joey Logano,161,161,1
Austin Cindric,162,162,1
A.J. Allmendinger,163,163,1
Joey Logano,164,166,3
Austin Cindric,167,168,2
Austin Dillon,169,169,1
Todd Gilliland,170,171,2
Michael McDowell,172,173,2
Austin Cindric,174,175,2
Ricky Stenhouse Jr,176,177,2
Austin Cindric,178,178,1
Ricky Stenhouse Jr,179,179,1
Austin Cindric,180,180,1
Ricky Stenhouse Jr,181,182,2
Austin Cindric,183,183,1
Ricky Stenhouse Jr,184,195,12
