Rank,Driver,Points,Diff
1,William Byron,3122,
2,Christopher Bell,3105,-17
3,Kyle Larson,3100,-22
4,Denny Hamlin,3078,-44
5,Alex Bowman,3074,-48
6,Ryan Blaney,3073,-49
7,Tyler Reddick,3062,-60
8,Chase Elliott,3061,-61
9,Joey Logano,3048,-74
10,Daniel Suarez,3041,-81
11,Austin Cindric,3032,-90
12,Chase Briscoe,3029,-93
13,Ty Gibbs,2144,-978
14,Martin Truex Jr,2130,-992
15,Brad Keselowski,2104,-1018
16,Harrison Burton,2048,-1074
17,Ross Chastain,812,-2310
18,Chris Buescher,810,-2312
19,Bubba Wallace,789,-2333
20,Kyle Busch,684,-2438
