Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,12,12,,
yellow_flag,13,16,4,"#78,99 accident backstretch",none
green_flag,17,61,45,,
yellow_flag,62,66,5,end of stage 1,#99
green_flag,67,121,55,,
yellow_flag,122,127,6,"#12,1,22,16,11,51 accident frontstretch",#13
green_flag,128,184,57,,
yellow_flag,185,193,9,"#45,48,34,17,9,13,2,21,22,42,14,23,10,99,51,4,38,62,71,19,16,20,43 accident backstretch",none
green_flag,194,195,2,,
Percent of race run under caution: 12.3%             Average green flag run: 34.2 laps
