Leader,From Lap,To Lap,# Of Laps
"Martin Truex, Jr.",1,4,4
Denny Hamlin,5,7,3
Joey Logano,8,10,3
Denny Hamlin,11,14,4
Joey Logano,15,17,3
Denny Hamlin,18,22,5
Joey Logano,23,26,4
Matt DiBenedetto,27,27,1
Joey Logano,28,35,8
Kyle Busch,36,36,1
Joey Logano,37,39,3
William Byron,40,40,1
Denny Hamlin,41,42,2
Joey Logano,43,43,1
Denny Hamlin,44,45,2
Alex Bowman,46,46,1
Joey Logano,47,49,3
Alex Bowman,50,50,1
Joey Logano,51,51,1
Tyler Reddick,52,52,1
Joey Logano,53,55,3
Tyler Reddick,56,60,5
Ryan Newman,61,61,1
Alex Bowman,62,64,3
Ryan Blaney,65,65,1
Jimmie Johnson,66,66,1
Kyle Busch,67,67,1
Ryan Blaney,68,69,2
Kyle Busch,70,71,2
Ryan Blaney,72,73,2
Kyle Busch,74,74,1
Ryan Blaney,75,96,22
Brennan Poole,97,97,1
Ryan Blaney,98,105,8
"Ricky Stenhouse, Jr.",106,106,1
Ryan Blaney,107,111,5
"Ricky Stenhouse, Jr.",112,112,1
Ryan Blaney,113,118,6
"Ricky Stenhouse, Jr.",119,121,3
Chris Buescher,122,125,4
Kevin Harvick,126,126,1
Ryan Preece,127,127,1
Chase Elliott,128,130,3
Denny Hamlin,131,131,1
Ryan Blaney,132,142,11
Christopher Bell,143,146,4
Denny Hamlin,147,147,1
Joey Logano,148,150,3
William Byron,151,160,10
Bubba Wallace,161,161,1
Joey Logano,162,162,1
Ryan Preece,163,164,2
Alex Bowman,165,171,7
Tyler Reddick,172,184,13
Ryan Blaney,185,189,5
Kevin Harvick,190,190,1
Ryan Blaney,191,191,1
