Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,26,26,,
yellow_flag,27,29,3,competition,#15
green_flag,30,56,27,,
yellow_flag,57,64,8,rain,#27
green_flag,65,95,31,,
yellow_flag,96,99,4,#38 spun frontstretch,#77
green_flag,100,115,16,,
yellow_flag,116,118,3,debris backstretch,#51
green_flag,119,121,3,,
yellow_flag,122,125,4,end of stage 2,#51
green_flag,126,134,9,,
yellow_flag,135,138,4,"#9,2,3 accident backstretch",#00
green_flag,139,142,4,,
yellow_flag,143,146,4,"#15,51 accident turn 4",#00
green_flag,147,186,40,,
yellow_flag,187,189,3,"#48,4 accident frontstretch",#62
green_flag,190,191,2,,
Percent of race run under caution: 17.3%             Average green flag run: 17.6 laps
