Rank,Driver,Wins,Points
1,Denny Hamlin,3,428
2,Kevin Harvick,2,490
3,Joey Logano,2,467
4,Brad Keselowski,2,441
5,Ryan Blaney,1,465
6,Chase Elliott,1,458
7,Martin Truex Jr,1,424
8,Alex Bowman,1,419
9,Kyle Busch,0,378
10,Kurt Busch,0,369
11,Jimmie Johnson,0,353
12,Aric Almirola,0,337
13,Clint Bowyer,0,328
14,William Byron,0,319
15,Matt DiBenedetto,0,312
16,Tyler Reddick,0,306
