Rank,Driver,Points,Diff
1,Kevin Harvick,490,
2,Joey Logano,467,-23
3,Ryan Blaney,465,-25
4,Chase Elliott,458,-32
5,Brad Keselowski,441,-49
6,Denny Hamlin,428,-62
7,Martin Truex Jr,424,-66
8,Alex Bowman,419,-71
9,Kyle Busch,378,-112
10,Kurt Busch,369,-121
11,Jimmie Johnson,353,-137
12,Aric Almirola,337,-153
13,Clint Bowyer,328,-162
14,William Byron,319,-171
15,Matt DiBenedetto,312,-178
16,Tyler Reddick,306,-184
17,Erik Jones,305,-185
18,Austin Dillon,282,-208
19,Chris Buescher,266,-224
20,Ricky Stenhouse Jr,263,-227
21,Bubba Wallace,258,-232
