Rank,Driver,Wins,Points
1,Kyle Busch,4,851
2,Martin Truex Jr,4,753
3,Denny Hamlin,3,771
4,Brad Keselowski,3,728
5,Joey Logano,2,838
6,Chase Elliott,2,676
7,Kevin Harvick,1,777
8,Kurt Busch,1,679
9,Alex Bowman,1,623
10,Aric Almirola,0,640
11,Ryan Blaney,0,633
12,William Byron,0,604
13,Erik Jones,0,598
14,Kyle Larson,0,590
15,Clint Bowyer,0,556
16,Jimmie Johnson,0,544
