Rank,Driver,Points,Diff
1,Kyle Busch,851,
2,Joey Logano,838,-13
3,Kevin Harvick,777,-74
4,Denny Hamlin,771,-80
5,Martin Truex Jr,753,-98
6,Brad Keselowski,728,-123
7,Kurt Busch,679,-172
8,Chase Elliott,676,-175
9,Aric Almirola,640,-211
10,Ryan Blaney,633,-218
11,Alex Bowman,623,-228
12,William Byron,604,-247
13,Erik Jones,598,-253
14,Kyle Larson,590,-261
15,Clint Bowyer,556,-295
16,Jimmie Johnson,544,-307
16,Ryan Newman,544,-307
18,Daniel Suarez,521,-330
19,Paul Menard,483,-368
20,Ricky Stenhouse Jr,466,-385
21,Chris Buescher,463,-388
