Rank,Driver,Wins,Points
1,Ross Chastain,0,404
2,Christopher Bell,1,373
3,Martin Truex Jr,1,368
3,Denny Hamlin,1,368
5,Kevin Harvick,0,358
6,Tyler Reddick,1,354
7,Ryan Blaney,0,350
8,Kyle Larson,2,338
9,William Byron,2,331
10,Brad Keselowski,0,321
11,Joey Logano,1,315
12,Kyle Busch,2,308
13,Chris Buescher,0,302
14,Ricky Stenhouse Jr,1,295
15,Daniel Suarez,0,259
16,Chase Briscoe,0,255
