Rank,Driver,Points,Diff
1,Ross Chastain,404,
2,Christopher Bell,373,-31
3,Denny Hamlin,369,-35
4,Martin Truex Jr,368,-36
5,Kevin Harvick,358,-46
6,Tyler Reddick,354,-50
7,Ryan Blaney,350,-54
8,Kyle Larson,338,-66
9,William Byron,330,-74
10,Brad Keselowski,321,-83
11,Joey Logano,315,-89
12,Kyle Busch,308,-96
13,Chris Buescher,302,-102
14,Ricky Stenhouse Jr,295,-109
15,Alex Bowman,270,-134
16,Daniel Suarez,259,-145
17,Chase Briscoe,255,-149
18,Bubba Wallace,253,-151
19,Ty Gibbs,239,-165
20,Michael McDowell,237,-167
21,Austin Cindric,230,-174
