Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,5,5,,
yellow_flag,6,9,4,"#5,#45 accident frontstretch",none
green_flag,10,81,72,,
yellow_flag,82,88,7,end of stage 1,#2
green_flag,89,108,20,,
yellow_flag,109,113,5,#2 spun,#16
green_flag,114,138,25,,
yellow_flag,139,143,5,#10 spun backstretch,none
green_flag,144,148,5,,
yellow_flag,149,153,5,"#43spin,#48,#54,#17,#43 accident turn 2",#24
green_flag,154,158,5,,
yellow_flag,159,162,4,#20 spun backstretch,#7
green_flag,163,163,1,,
yellow_flag,164,170,7,#8 spun backstretch,#31
green_flag,171,177,7,,
yellow_flag,178,183,6,#54 spun backstretch,#10
green_flag,184,191,8,,
yellow_flag,192,195,4,#21 spun turn 2,#51
green_flag,196,206,11,,
yellow_flag,207,211,5,#42 spun backstretch,none
green_flag,212,215,4,,
yellow_flag,216,220,5,#43 spun turns 3/4,#42
green_flag,221,267,47,,
Percent of race run under caution: 21.3%             Average green flag run: 17.5 laps
