Leader,From Lap,To Lap,# Of Laps
William Byron,1,2,2
Ross Chastain,3,4,2
Tyler Reddick,5,27,23
Martin Truex Jr,28,39,12
Christopher Bell,40,42,3
Michael McDowell,43,43,1
Corey Lajoie,44,46,3
Denny Hamlin,47,48,2
Martin Truex Jr,49,71,23
Denny Hamlin,72,83,12
Martin Truex Jr,84,84,1
Denny Hamlin,85,88,4
Martin Truex Jr,89,93,5
Denny Hamlin,94,94,1
Martin Truex Jr,95,97,3
Denny Hamlin,98,109,12
Martin Truex Jr,110,110,1
Bubba Wallace,111,112,2
Ross Chastain,113,113,1
Bubba Wallace,114,117,4
Martin Truex Jr,118,140,23
Kyle Larson,141,154,14
Bubba Wallace,155,155,1
Kyle Larson,156,156,1
Bubba Wallace,157,158,2
Joey Logano,159,166,8
Kyle Larson,167,169,3
Denny Hamlin,170,170,1
Kyle Larson,171,182,12
Denny Hamlin,183,183,1
Kyle Larson,184,186,3
Chase Elliott,187,191,5
Martin Truex Jr,192,202,11
Kyle Larson,203,208,6
Corey Lajoie,209,212,4
William Byron,213,220,8
Kyle Larson,221,266,46
Denny Hamlin,267,267,1
