Rank,Driver,Wins,Points
1,Kevin Harvick,2,421
2,Joey Logano,2,373
3,Brad Keselowski,2,346
4,Denny Hamlin,2,322
5,Chase Elliott,1,365
6,Alex Bowman,1,314
7,Martin Truex Jr,0,334
8,Ryan Blaney,0,317
9,Kyle Busch,0,308
10,Kurt Busch,0,284
11,Aric Almirola,0,260
12,Clint Bowyer,0,259
13,Jimmie Johnson,0,256
14,Austin Dillon,0,247
15,Matt DiBenedetto,0,246
16,Erik Jones,0,240
