Leader,From Lap,To Lap,# Of Laps
Chase Elliott,1,26,26
Brad Keselowski,27,27,1
Joey Logano,28,36,9
Kevin Harvick,37,65,29
"Martin Truex, Jr.",66,68,3
Kurt Busch,69,69,1
Kevin Harvick,70,86,17
"Martin Truex, Jr.",87,108,22
Clint Bowyer,109,113,5
"Martin Truex, Jr.",114,114,1
Clint Bowyer,115,146,32
"Martin Truex, Jr.",147,159,13
Brad Keselowski,160,163,4
Clint Bowyer,164,184,21
"Martin Truex, Jr.",185,203,19
Kyle Busch,204,206,3
"Martin Truex, Jr.",207,213,7
Kyle Busch,214,217,4
Kevin Harvick,218,267,50
Ryan Blaney,268,269,2
Joey Logano,270,270,1
Kevin Harvick,271,325,55
