Rank,Driver,Points,Diff
1,Kevin Harvick,421,
2,Joey Logano,373,-48
3,Chase Elliott,365,-56
4,Brad Keselowski,346,-75
5,Martin Truex Jr,334,-87
6,Denny Hamlin,322,-99
7,Ryan Blaney,317,-104
8,Alex Bowman,314,-107
9,Kyle Busch,308,-113
10,Kurt Busch,284,-137
11,Aric Almirola,260,-161
12,Clint Bowyer,259,-162
13,Jimmie Johnson,256,-165
14,Austin Dillon,247,-174
15,Matt DiBenedetto,246,-175
16,Erik Jones,240,-181
17,William Byron,220,-201
18,Tyler Reddick,207,-214
19,Chris Buescher,194,-227
20,Ricky Stenhouse Jr,185,-236
21,John H. Nemechek,179,-242
