driver_name,start_pos,mid_race_pos,finish_pos,highest_pos,lowest_pos,avg_pos,pass_diff,green_flag_passes,green_flag_times_passed,quality_passes,pct_quality_passes,fastest_lap,top_15_laps,pct_top_15_laps,laps_led,pct_laps_led,total_laps,driver_rating
Kyle Larson,13,3,1,1,25,7,24,83,59,63,75.9,16,183,91.5,28,14.0,200,116.3
Austin Dillon,16,12,2,2,31,16,-22,97,119,52,53.6,3,118,59.0,0,0.0,200,82.9
Erik Jones,2,7,3,1,12,4,13,72,59,64,88.9,23,200,100.0,18,9.0,200,122.7
Daniel Suarez,15,26,4,1,31,14,-3,96,99,54,56.2,0,115,57.5,0,0.0,200,86.2
Joey Logano,7,4,5,1,20,5,32,87,55,66,75.9,5,198,99.0,14,7.0,200,110.3
Aric Almirola,31,13,6,5,31,17,-24,94,118,48,51.1,1,110,55.0,0,0.0,200,77.0
Kevin Harvick,32,21,7,1,32,20,23,106,83,15,14.2,0,43,21.5,1,0.5,200,64.7
Kurt Busch,36,22,8,5,36,21,27,133,106,42,31.6,0,60,30.0,0,0.0,200,63.5
Daniel Hemric,5,34,9,5,35,26,13,58,45,28,48.3,2,45,22.5,0,0.0,200,72.3
Ricky Stenhouse Jr,17,18,10,2,22,11,20,121,101,71,58.7,1,159,79.5,0,0.0,200,91.1
Cole Custer,21,10,11,3,26,13,-28,75,103,49,65.3,0,134,67.0,0,0.0,200,83.3
Austin Cindric,1,8,12,1,25,10,-14,86,100,61,70.9,1,179,89.5,0,0.0,200,94.3
Martin Truex Jr,12,28,13,4,30,15,-7,91,98,34,37.4,1,98,49.0,0,0.0,200,77.3
Kyle Busch,3,33,14,3,36,29,4,56,52,8,14.3,2,21,10.5,0,0.0,200,59.0
Denny Hamlin,4,24,15,3,31,10,8,110,102,70,63.6,0,169,84.5,0,0.0,200,89.8
Chase Briscoe,24,5,16,1,31,14,-3,109,112,43,39.4,9,91,45.5,20,10.0,200,82.1
Ty Dillon,18,23,17,11,32,23,-38,99,137,1,1.0,0,6,3.0,0,0.0,200,46.5
Ryan Blaney,6,6,18,1,18,7,60,119,59,102,85.7,8,189,94.5,1,0.5,200,97.6
Bubba Wallace,34,25,19,9,34,25,3,72,69,5,6.9,0,2,1.0,0,0.0,200,42.8
Todd Gilliland,26,29,20,17,33,26,-34,48,82,0,0.0,0,0,0.0,0,0.0,200,41.8
Garrett Smithley,29,30,21,5,35,28,2,18,16,0,0.0,0,8,4.0,0,0.0,200,37.8
B.J. McLeod,30,31,22,9,35,28,0,18,18,0,0.0,0,6,3.0,0,0.0,200,35.8
Justin Haley,35,15,23,9,35,20,5,131,126,29,22.1,0,38,19.0,0,0.0,200,55.0
Tyler Reddick,11,2,24,1,30,8,2,26,24,23,88.5,39,144,72.4,90,45.2,199,120.6
Alex Bowman,14,9,25,2,27,11,-27,62,89,57,91.9,0,172,86.4,0,0.0,199,78.7
Chase Elliott,8,19,26,1,34,19,-9,43,52,17,39.5,10,75,37.9,12,6.1,198,67.5
Brad Keselowski,9,11,27,4,31,19,13,78,65,32,41.0,0,68,34.3,0,0.0,198,61.0
Corey LaJoie,25,27,28,14,32,25,-8,114,122,0,0.0,0,2,1.0,0,0.0,198,42.0
Ross Chastain,33,16,29,4,33,20,-8,72,80,22,30.6,0,68,34.3,0,0.0,198,49.5
Josh Bilicki,28,32,30,21,33,31,-11,12,23,0,0.0,0,0,0.0,0,0.0,198,30.2
Michael McDowell,23,17,31,9,23,18,-18,88,106,18,20.5,0,41,21.2,0,0.0,193,52.3
Cody Ware,27,36,32,27,36,35,1,7,6,0,0.0,0,0,0.0,0,0.0,187,26.0
Harrison Burton,22,20,33,16,30,24,-19,83,102,0,0.0,0,0,0.0,0,0.0,157,42.7
William Byron,10,1,34,1,17,12,19,46,27,44,95.7,6,148,98.0,16,10.6,151,97.3
Chris Buescher,20,14,35,8,31,24,1,52,51,27,51.9,0,62,55.9,0,0.0,111,56.3
Christopher Bell,19,35,36,11,35,28,8,34,26,21,61.8,1,48,51.1,0,0.0,94,41.9
