Leader,From Lap,To Lap,# Of Laps
Erik Jones,1,10,10
Tyler Reddick,11,15,5
Erik Jones,16,16,1
Tyler Reddick,17,22,6
Chase Elliott,23,34,12
Tyler Reddick,35,38,4
William Byron,39,39,1
Tyler Reddick,40,53,14
William Byron,54,54,1
Kevin Harvick,55,55,1
Tyler Reddick,56,67,12
Erik Jones,68,68,1
Tyler Reddick,69,73,5
Kyle Larson,74,74,1
Chase Briscoe,75,91,17
William Byron,92,92,1
Tyler Reddick,93,99,7
William Byron,100,112,13
Tyler Reddick,113,121,9
Erik Jones,122,122,1
Tyler Reddick,123,132,10
Erik Jones,133,133,1
Tyler Reddick,134,151,18
Erik Jones,152,155,4
Joey Logano,156,166,11
Kyle Larson,167,174,8
Ryan Blaney,175,175,1
Chase Briscoe,176,178,3
Joey Logano,179,180,2
Kyle Larson,181,192,12
Joey Logano,193,193,1
Kyle Larson,194,200,7
