Rank,Driver,Points,Diff
1,Austin Cindric,85,
2,Joey Logano,77,-8
3,Martin Truex Jr,73,-12
4,Ryan Blaney,70,-15
5,Chase Briscoe,69,-16
6,Erik Jones,68,-17
7,Aric Almirola,66,-19
8,Kyle Larson,65,-20
8,Bubba Wallace,65,-20
10,Brad Keselowski,64,-21
11,Kyle Busch,61,-24
12,Kurt Busch,53,-32
12,Ricky Stenhouse Jr,53,-32
14,Austin Dillon,52,-33
14,Daniel Suarez,52,-33
16,Cole Custer,48,-37
17,Ty Dillon,46,-39
18,Michael McDowell,45,-40
18,Chase Elliott,45,-40
20,Kevin Harvick,41,-44
21,Tyler Reddick,38,-47
