Rank,Driver,Wins,Points
1,Austin Cindric,1,85
2,Kyle Larson,1,65
3,Joey Logano,0,77
4,Martin Truex Jr,0,73
5,Ryan Blaney,0,70
6,Chase Briscoe,0,69
7,Erik Jones,0,68
8,Aric Almirola,0,66
9,Bubba Wallace,0,65
10,Brad Keselowski,0,64
11,Kyle Busch,0,61
12,Ricky Stenhouse Jr,0,53
12,Kurt Busch,0,53
14,Austin Dillon,0,52
14,Daniel Suarez,0,52
16,Cole Custer,0,48
