Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,15,15,,
yellow_flag,16,19,4,#18 spun 2 / competition,none
green_flag,20,38,19,,
yellow_flag,39,42,4,#9 spun turn 2,#78
green_flag,43,53,11,,
yellow_flag,54,57,4,#77 spun turn 2,#15
green_flag,58,66,9,,
yellow_flag,67,73,7,end of stage 1,#9
green_flag,74,91,18,,
yellow_flag,92,96,5,#20 accident turn 4,#9
green_flag,97,111,15,,
yellow_flag,112,115,4,#17 accident turn 2,#77
green_flag,116,116,1,,
yellow_flag,117,121,5,"#6,22 accident frontstretch",#77
green_flag,122,131,10,,
yellow_flag,132,136,5,end of stage 2,#77
green_flag,137,152,16,,
yellow_flag,153,156,4,"#8,24 accident turn 2",#10
green_flag,157,158,2,,
yellow_flag,159,165,7,"#2,6,21,23 accident turn 2",#16
green_flag,166,172,7,,
yellow_flag,173,178,6,#1 spun turn 4,#18
green_flag,179,192,14,,
yellow_flag,193,196,4,#9 spun turn 2,#18
green_flag,197,200,4,,
Percent of race run under caution: 29.5%             Average green flag run: 10.8 laps
