Rank,Driver,Points,Diff
1,Kevin Harvick,370,
2,Joey Logano,346,-24
3,Chase Elliott,325,-45
4,Brad Keselowski,315,-55
5,Alex Bowman,289,-81
6,Martin Truex Jr,280,-90
7,Denny Hamlin,276,-94
8,Ryan Blaney,274,-96
9,Kyle Busch,256,-114
10,Kurt Busch,253,-117
11,Aric Almirola,240,-130
12,Clint Bowyer,232,-138
13,Matt DiBenedetto,230,-140
14,Erik Jones,228,-142
15,Jimmie Johnson,223,-147
16,Austin Dillon,221,-149
17,William Byron,216,-154
18,Tyler Reddick,186,-184
19,Chris Buescher,179,-191
20,John H. Nemechek,165,-205
21,Ricky Stenhouse Jr,157,-213
