Leader,From Lap,To Lap,# Of Laps
Brad Keselowski,1,62,62
Chase Elliott,63,63,1
Matt DiBenedetto,64,67,4
Brad Keselowski,68,83,16
Ryan Blaney,84,104,21
Chase Elliott,105,130,26
Ryan Blaney,131,169,39
Brad Keselowski,170,203,34
Chase Elliott,204,223,20
Joey Logano,224,224,1
Chase Elliott,225,255,31
Denny Hamlin,256,277,22
Kyle Busch,278,329,52
Chase Elliott,330,330,1
Kyle Busch,331,360,30
Denny Hamlin,361,416,56
Kyle Busch,417,434,18
Chase Elliott,435,435,1
Denny Hamlin,436,488,53
Chase Elliott,489,496,8
Joey Logano,497,497,1
Brad Keselowski,498,500,3
