Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,7,7,,
yellow_flag,8,12,5,#6 spun turns 1/2,#00
green_flag,13,21,9,,
yellow_flag,22,29,8,competition,none
green_flag,30,61,32,,
yellow_flag,62,67,6,competition,#66
green_flag,68,126,59,,
yellow_flag,127,136,10,end of stage 1,#32
green_flag,137,199,63,,
yellow_flag,200,207,8,"#12,13, accident turn 2",none
green_flag,208,212,5,,
yellow_flag,213,216,4,#51 accident backstretch,#27
green_flag,217,217,1,,
yellow_flag,218,221,4,#53 stalled on track,#66
green_flag,222,230,9,,
yellow_flag,231,235,5,"#8,88,41,47,1,48,37,34,21 accident backstretch",#96
green_flag,236,239,4,,
yellow_flag,240,243,4,#37 accident turns 3/4,#96
green_flag,244,251,8,,
yellow_flag,252,261,10,end of stage 2,#1
green_flag,262,269,8,,
yellow_flag,270,274,5,#17 accident turn 2,#21
green_flag,275,329,55,,
yellow_flag,330,334,5,#3 accident turn 2,#32
green_flag,335,355,21,,
yellow_flag,356,360,5,#6 spun turn 4,#37
green_flag,361,433,73,,
yellow_flag,434,439,6,"#4,20 accident turn 1",#42
green_flag,440,458,19,,
yellow_flag,459,463,5,#27 accident turn 2,#96
green_flag,464,465,2,,
yellow_flag,466,471,6,"#10,19,34,43,2,6,20 accident turn 2",#66
green_flag,472,489,18,,
yellow_flag,490,495,6,"#22,11,78 accident turn 4",#66
green_flag,496,500,5,,
Percent of race run under caution: 20.4%             Average green flag run: 22.1 laps
