Rank,Driver,Wins,Points
1,Joey Logano,2,346
2,Brad Keselowski,2,315
3,Denny Hamlin,2,276
4,Kevin Harvick,1,370
5,Chase Elliott,1,325
6,Alex Bowman,1,289
7,Martin Truex Jr,0,280
8,Ryan Blaney,0,274
9,Kyle Busch,0,256
10,Kurt Busch,0,253
11,Aric Almirola,0,240
12,Clint Bowyer,0,232
13,Matt DiBenedetto,0,230
14,Erik Jones,0,228
15,Jimmie Johnson,0,223
16,Austin Dillon,0,221
