Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,2,2,,
yellow_flag,3,5,3,"#6,17,38,77,84 accident 19 , 20",none
green_flag,6,12,7,,
yellow_flag,13,15,3,"#5,11 accident frontstretch",none
green_flag,16,41,26,,
yellow_flag,42,43,2,debris turn 9,#12
green_flag,44,57,14,,
yellow_flag,58,59,2,#6 stopped turn 7,#7
green_flag,60,60,1,,
yellow_flag,61,61,1,#1 stopped turn 1,#7
green_flag,62,65,4,,
yellow_flag,66,67,2,debris,none
green_flag,68,68,1,,
yellow_flag,69,70,2,debris,#5
green_flag,71,71,1,,
yellow_flag,72,73,2,debris,#5
green_flag,74,75,2,,
Percent of race run under caution: 22.7%             Average green flag run: 6.4 laps
