Rank,Driver,Wins,Points
1,Alex Bowman,0,226
2,Ross Chastain,0,211
3,William Byron,2,196
4,Kyle Busch,1,192
5,Kevin Harvick,0,181
6,Joey Logano,1,176
7,Christopher Bell,0,175
8,Ryan Blaney,0,169
9,Kyle Larson,0,165
10,Martin Truex Jr,0,162
11,Tyler Reddick,1,161
12,Denny Hamlin,0,160
13,Ricky Stenhouse Jr,1,159
14,Austin Cindric,0,157
15,Brad Keselowski,0,155
16,Chris Buescher,0,150
