Rank,Driver,Points,Diff
1,Alex Bowman,226,
2,Ross Chastain,211,-15
3,William Byron,196,-30
4,Kyle Busch,192,-34
5,Joey Logano,186,-40
5,Kevin Harvick,186,-40
7,Christopher Bell,184,-42
8,Ryan Blaney,177,-49
9,Kyle Larson,170,-56
10,Austin Cindric,166,-60
11,Martin Truex Jr,165,-61
12,Brad Keselowski,162,-64
12,Denny Hamlin,162,-64
14,Tyler Reddick,161,-65
15,Ricky Stenhouse Jr,159,-67
16,Chris Buescher,157,-69
17,Daniel Suarez,144,-82
18,Corey LaJoie,139,-87
19,Michael McDowell,125,-101
20,Ty Gibbs,118,-108
21,Bubba Wallace,103,-123
