Rank,Driver,Points,Diff
1,Kyle Larson,4084,
2,William Byron,4077,-7
3,Denny Hamlin,4070,-14
3,Martin Truex Jr,4070,-14
5,Christopher Bell,4068,-16
6,Tyler Reddick,4054,-30
7,Ryan Blaney,4053,-31
8,Chris Buescher,4047,-37
9,Brad Keselowski,2238,-1846
10,Ross Chastain,2213,-1871
11,Kyle Busch,2191,-1893
12,Bubba Wallace,2185,-1899
13,Joey Logano,2168,-1916
14,Kevin Harvick,2144,-1940
15,Michael McDowell,2130,-1954
16,Ricky Stenhouse Jr,2126,-1958
17,Chase Elliott,757,-3327
18,Daniel Suarez,706,-3378
19,Ty Gibbs,693,-3391
20,Alex Bowman,658,-3426
