Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,65,65,,
yellow_flag,66,71,6,#43 accident frontstretch,#99
green_flag,72,81,10,,
yellow_flag,82,86,5,end of stage 1,#43
green_flag,87,111,25,,
yellow_flag,112,117,6,#42 accident turn 2,#16
green_flag,118,145,28,,
yellow_flag,146,149,4,#48 accident frontstretch,#78
green_flag,150,166,17,,
yellow_flag,167,171,5,end of stage 2,none
green_flag,172,210,39,,
yellow_flag,211,215,5,#14 accident turn 2,#78
green_flag,216,217,2,,
yellow_flag,218,222,5,#54 accident turn 2,#14
green_flag,223,267,45,,
Percent of race run under caution: 13.5%             Average green flag run: 28.9 laps
