Leader,From Lap,To Lap,# Of Laps
Christopher Bell,1,2,2
Kyle Larson,3,28,26
Christopher Bell,29,39,11
Kyle Larson,40,68,29
Christopher Bell,69,72,4
Kyle Larson,73,82,10
Martin Truex Jr,83,91,9
Denny Hamlin,92,114,23
Brad Keselowski,115,117,3
Kyle Larson,118,118,1
Brad Keselowski,119,145,27
Christopher Bell,146,146,1
Brad Keselowski,147,149,3
William Byron,150,150,1
Brad Keselowski,151,154,4
Kyle Larson,155,168,14
Christopher Bell,169,211,43
J.J. Yeley,212,213,2
Kyle Larson,214,221,8
Brad Keselowski,222,222,1
Kyle Larson,223,267,45
