Rank,Driver,Points,Diff
1,Tyler Reddick,814,
2,Chase Elliott,804,-10
3,Kyle Larson,782,-32
4,Ryan Blaney,732,-82
5,William Byron,728,-86
6,Denny Hamlin,711,-103
7,Christopher Bell,703,-111
8,Martin Truex Jr,682,-132
9,Brad Keselowski,677,-137
10,Ty Gibbs,644,-170
11,Alex Bowman,627,-187
12,Chris Buescher,621,-193
13,Ross Chastain,606,-208
14,Bubba Wallace,605,-209
15,Joey Logano,561,-253
16,Daniel Suarez,526,-288
17,Kyle Busch,513,-301
18,Chase Briscoe,491,-323
19,Austin Cindric,460,-354
20,Todd Gilliland,455,-359
21,Michael McDowell,449,-365
