Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,38,38,,
yellow_flag,39,42,4,#11 spun turn 4,#4
green_flag,43,46,4,,
yellow_flag,47,55,9,end of stage 1,none
green_flag,56,109,54,,
yellow_flag,110,115,6,debris turn 4,#11
green_flag,116,116,1,,
yellow_flag,117,125,9,"#5,14,17,20,22,23,38 accident turn 4",none
green_flag,126,136,11,,
yellow_flag,137,141,5,"#7,10 accident backstretch",#34
green_flag,142,195,54,,
yellow_flag,196,199,4,#19 accident turn 4,#15
green_flag,200,200,1,,
yellow_flag,201,204,4,#1 spun backstretch,#51
green_flag,205,206,2,,
Percent of race run under caution: 19.9%             Average green flag run: 20.6 laps
