Leader,From Lap,To Lap,# Of Laps
Kyle Larson,1,34,34
Bubba Wallace,35,39,5
Ryan Blaney,40,47,8
Chase Elliott,48,57,10
Kyle Busch,58,65,8
Martin Truex Jr,66,92,27
Ryan Blaney,93,99,7
Ty Gibbs,100,101,2
Brad Keselowski,102,103,2
Kyle Larson,104,105,2
Martin Truex Jr,106,106,1
Kyle Larson,107,111,5
Ross Chastain,112,115,4
Kyle Busch,116,126,11
William Byron,127,141,15
Chase Elliott,142,160,19
Tyler Reddick,161,161,1
Kyle Busch,162,166,5
Daniel Suarez,167,173,7
Carson Hocevar,174,176,3
Ricky Stenhouse Jr,177,178,2
Harrison Burton,179,183,5
Josh Berry,184,187,4
Tyler Reddick,188,199,12
William Byron,200,204,5
Tyler Reddick,205,206,2
