driver_name,start_pos,mid_race_pos,finish_pos,highest_pos,lowest_pos,avg_pos,pass_diff,green_flag_passes,green_flag_times_passed,quality_passes,pct_quality_passes,fastest_lap,top_15_laps,pct_top_15_laps,laps_led,pct_laps_led,total_laps,driver_rating
Tyler Reddick,2,12,1,1,33,10,4,122,118,62,50.8,25,159,77.2,15,7.3,206,118.0
William Byron,9,7,2,1,32,8,24,111,87,64,57.7,7,175,85.0,20,9.7,206,113.8
Ty Gibbs,19,19,3,1,31,12,4,112,108,34,30.4,17,107,51.9,2,1.0,206,100.5
Kyle Busch,13,8,4,1,25,8,4,93,89,57,61.3,1,161,78.2,24,11.7,206,100.5
Brad Keselowski,15,1,5,1,30,12,4,120,116,49,40.8,7,143,69.4,2,1.0,206,94.3
Chris Buescher,18,11,6,2,29,15,23,132,109,48,36.4,14,118,57.3,0,0.0,206,90.5
Zane Smith,27,29,7,3,34,23,16,141,125,33,23.4,1,51,24.8,0,0.0,206,57.1
Daniel Suarez,12,21,8,1,31,16,-3,135,138,43,31.9,0,102,49.5,7,3.4,206,78.9
Denny Hamlin,1,17,9,1,36,17,-2,129,131,41,31.8,8,92,44.7,0,0.0,206,79.7
Carson Hocevar,11,20,10,1,36,17,7,127,120,51,40.2,0,112,54.4,3,1.5,206,78.5
Ryan Preece,26,28,11,4,32,21,-1,135,136,32,23.7,0,48,23.3,0,0.0,206,56.8
Noah Gragson,25,27,12,6,33,21,-12,122,134,27,22.1,0,42,20.4,0,0.0,206,55.5
Ricky Stenhouse Jr,30,25,13,1,32,17,9,131,122,39,29.8,0,85,41.3,2,1.0,206,68.2
Harrison Burton,34,26,14,1,36,22,-25,136,161,29,21.3,0,48,23.3,5,2.4,206,56.2
Chase Elliott,6,5,15,1,31,6,-9,104,113,56,53.8,11,191,92.7,29,14.1,206,105.3
Erik Jones,28,18,16,3,35,19,20,174,154,32,18.4,0,51,24.8,0,0.0,206,70.8
Austin Dillon,10,31,17,3,35,17,-12,130,142,40,30.8,0,108,52.4,0,0.0,206,67.2
Ryan Blaney,8,16,18,1,31,10,-2,102,104,46,45.1,2,160,77.7,15,7.3,206,91.9
Michael McDowell,17,33,19,3,36,25,-21,95,116,18,18.9,0,35,17.0,0,0.0,206,40.8
Justin Haley,29,35,20,19,36,30,7,62,55,0,0.0,5,0,0.0,0,0.0,206,50.7
Cody Ware,36,32,21,4,36,26,-20,94,114,16,17.0,0,30,14.6,0,0.0,206,38.7
Josh Berry,16,34,22,1,36,26,-27,100,127,13,13.0,0,26,12.6,4,1.9,206,38.8
Daniel Hemric,32,24,23,3,34,21,2,132,130,18,13.6,0,25,12.1,0,0.0,206,48.5
Martin Truex Jr,24,3,24,1,26,10,28,114,86,72,63.2,26,154,74.8,28,13.6,206,91.8
Ross Chastain,7,6,25,1,27,12,0,119,119,56,47.1,2,157,76.6,4,2.0,205,75.7
Bubba Wallace,5,4,26,1,32,14,3,88,85,41,46.6,14,108,52.7,5,2.4,205,65.9
Alex Bowman,22,9,27,3,28,14,0,123,123,52,42.3,2,131,63.9,0,0.0,205,65.2
Austin Cindric,23,30,28,9,34,24,-11,70,81,8,11.4,0,6,2.9,0,0.0,204,47.3
John H. Nemechek,33,36,29,19,36,31,-10,33,43,0,0.0,0,0,0.0,0,0.0,202,27.2
A.J. Allmendinger,35,14,30,6,36,24,17,65,48,19,29.2,2,43,21.5,0,0.0,200,48.2
Chase Briscoe,21,23,31,3,32,23,5,85,80,27,31.8,0,39,24.8,0,0.0,157,50.7
Corey LaJoie,31,13,32,9,35,24,4,94,90,19,20.2,0,51,37.8,0,0.0,135,47.3
Joey Logano,14,15,33,2,33,22,-11,53,64,35,66.0,1,97,82.9,0,0.0,117,62.0
Kyle Larson,4,2,34,1,31,18,4,66,62,33,50.0,6,109,94.8,41,35.7,115,96.2
Christopher Bell,3,10,35,2,21,20,1,49,48,27,55.1,6,109,94.8,0,0.0,115,79.8
Todd Gilliland,20,22,36,5,35,28,-19,70,89,13,18.6,0,17,14.9,0,0.0,114,36.2
