Rank,Driver,Points,Diff
1,Kyle Busch,2045,
2,Denny Hamlin,2030,-15
3,Martin Truex Jr,2029,-16
4,Kevin Harvick,2028,-17
4,Joey Logano,2028,-17
6,Brad Keselowski,2024,-21
7,Chase Elliott,2018,-27
8,Kurt Busch,2011,-34
9,Erik Jones,2005,-40
9,Alex Bowman,2005,-40
9,Kyle Larson,2005,-40
12,Ryan Blaney,2004,-41
13,William Byron,2001,-44
13,Aric Almirola,2001,-44
15,Clint Bowyer,2000,-45
15,Ryan Newman,2000,-45
17,Daniel Suarez,648,-1397
18,Jimmie Johnson,609,-1436
19,Paul Menard,575,-1470
20,Chris Buescher,554,-1491
21,Ricky Stenhouse Jr,489,-1556
