Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,26,26,,
yellow_flag,27,30,4,competition,#78
green_flag,31,81,51,,
yellow_flag,82,87,6,end of stage 1,#37
green_flag,88,161,74,,
yellow_flag,162,167,6,end of stage 2,#17
green_flag,168,230,63,,
yellow_flag,231,235,5,debris frontstretch,#99
green_flag,236,245,10,,
yellow_flag,246,249,4,#11 accident turn 1,#48
green_flag,250,253,4,,
yellow_flag,254,257,4,"#33,47 accident backstretch",#6
green_flag,258,258,1,,
yellow_flag,259,265,7,"#20,37,47 accident turn 4",#14
green_flag,266,267,2,,
Percent of race run under caution: 13.5%             Average green flag run: 28.9 laps
