Rank,Driver,Points,Diff
1,Denny Hamlin,481,
2,Martin Truex Jr,394,-87
3,William Byron,385,-96
4,Joey Logano,373,-108
5,Ryan Blaney,370,-111
6,Brad Keselowski,366,-115
7,Chase Elliott,349,-132
8,Kevin Harvick,348,-133
9,Kyle Larson,337,-144
10,Kyle Busch,330,-151
11,Austin Dillon,295,-186
12,Christopher Bell,292,-189
13,Michael McDowell,268,-213
14,Alex Bowman,260,-221
15,Chris Buescher,258,-223
16,Matt DiBenedetto,250,-231
17,Kurt Busch,238,-243
18,Ricky Stenhouse Jr,232,-249
18,Tyler Reddick,232,-249
20,Ryan Newman,219,-262
21,Bubba Wallace,207,-274
