Rank,Driver,Wins,Points
1,Ryan Blaney,1,495
2,William Byron,3,482
3,Kevin Harvick,0,473
4,Martin Truex Jr,1,472
5,Ross Chastain,0,466
6,Christopher Bell,1,455
7,Denny Hamlin,1,451
7,Kyle Busch,3,451
9,Tyler Reddick,1,411
9,Kyle Larson,2,411
11,Brad Keselowski,0,403
12,Joey Logano,1,401
13,Chris Buescher,0,393
14,Ricky Stenhouse Jr,1,368
15,Bubba Wallace,0,334
16,Daniel Suarez,0,313
