Rank,Driver,Points,Diff
1,Ryan Blaney,495,
2,William Byron,481,-14
3,Kevin Harvick,473,-22
4,Martin Truex Jr,472,-23
5,Ross Chastain,466,-29
6,Christopher Bell,455,-40
7,Denny Hamlin,452,-43
8,Kyle Busch,451,-44
9,Kyle Larson,411,-84
9,Tyler Reddick,411,-84
11,Brad Keselowski,403,-92
12,Joey Logano,401,-94
13,Chris Buescher,393,-102
14,Ricky Stenhouse Jr,368,-127
15,Bubba Wallace,334,-161
16,Daniel Suarez,313,-182
17,Alex Bowman,307,-188
18,Ty Gibbs,298,-197
19,Austin Cindric,280,-215
20,Michael McDowell,278,-217
21,Corey LaJoie,274,-221
