Rank,Driver,Points,Diff
1,Chase Elliott,734,
2,Ross Chastain,667,-67
3,Ryan Blaney,656,-78
4,Martin Truex Jr,619,-115
5,Kyle Larson,616,-118
6,Kyle Busch,594,-140
7,Joey Logano,582,-152
8,Christopher Bell,570,-164
9,Kevin Harvick,551,-183
10,William Byron,536,-198
11,Alex Bowman,510,-224
12,Aric Almirola,490,-244
13,Austin Cindric,489,-245
14,Kurt Busch,485,-249
15,Daniel Suarez,479,-255
16,Tyler Reddick,474,-260
17,Chase Briscoe,465,-269
17,Erik Jones,465,-269
19,Denny Hamlin,441,-293
20,Austin Dillon,421,-313
21,Michael McDowell,415,-319
