Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,5,5,,
yellow_flag,6,12,7,"#48,77,42,78,31 accident backstretch",none
green_flag,13,71,59,,
yellow_flag,72,77,6,end of stage 1,#21
green_flag,78,78,1,,
yellow_flag,79,83,5,#18 spun backstretch,#7
green_flag,84,89,6,,
yellow_flag,90,100,11,"#34,21,7 accident turn 2",#3
green_flag,101,146,46,,
yellow_flag,147,151,5,#12 accident turn 4,#31
green_flag,152,152,1,,
yellow_flag,153,156,4,#14 spun turn 4,#47
green_flag,157,163,7,,
yellow_flag,164,167,4,#18 spun frontstretch,#34
green_flag,168,186,19,,
yellow_flag,187,192,6,end of stage 2,#15
green_flag,193,205,13,,
yellow_flag,206,209,4,#38 accident turn 4,#2
green_flag,210,301,92,,
Percent of race run under caution: 17.3%             Average green flag run: 24.9 laps
