Rank,Driver,Points,Diff
1,Kyle Busch,568,
2,Joey Logano,564,-4
3,Chase Elliott,511,-57
4,Brad Keselowski,509,-59
5,Kevin Harvick,500,-68
6,Denny Hamlin,465,-103
7,Martin Truex Jr,452,-116
8,Kurt Busch,437,-131
9,Ryan Blaney,406,-162
10,Clint Bowyer,402,-166
11,Alex Bowman,395,-173
12,Aric Almirola,393,-175
13,Daniel Suarez,368,-200
14,William Byron,361,-207
15,Erik Jones,343,-225
16,Kyle Larson,342,-226
16,Jimmie Johnson,342,-226
18,Ryan Newman,332,-236
19,Paul Menard,310,-258
20,Ricky Stenhouse Jr,308,-260
21,Austin Dillon,285,-283
